,Transaction ID,Country,Amount (USD),Transaction Type,Date of Transaction,Person Involved,Industry,Destination Country,Reported by Authority,Source of Money,Money Laundering Risk Score,Shell Companies Involved,Financial Institution,Tax Haven Country,Transaction_Day,Transaction_Month,Transaction_Hour,Full_Transaction_Time,Time Gap (hours),Day of Week
8564,TX0000008565,China,3999463.473485996,Property Purchase,2013-12-23 20:00:00,Person_102,Luxury Goods,India,True,Illegal,2,2,Bank_309,Luxembourg,23,12,20,2013-12-24 16:00:00,0.0,0
3255,TX0000003256,India,216311.03122387532,Property Purchase,2013-05-16 15:00:00,Person_1020,Oil & Gas,India,False,Illegal,7,7,Bank_471,Luxembourg,16,5,15,2013-05-17 06:00:00,0.0,3
8769,TX0000008770,India,783781.9196719815,Stocks Transfer,2014-01-01 09:00:00,Person_1021,Luxury Goods,Singapore,False,Illegal,6,4,Bank_130,Luxembourg,1,1,9,2014-01-01 18:00:00,0.0,2
4679,TX0000004680,Switzerland,2592528.4589164364,Cash Withdrawal,2013-07-14 23:00:00,Person_1022,Luxury Goods,Singapore,False,Illegal,8,2,Bank_288,Cayman Islands,14,7,23,2013-07-15 22:00:00,0.0,6
1758,TX0000001759,UAE,1459103.7250278904,Cash Withdrawal,2013-03-15 06:00:00,Person_1023,Casinos,Singapore,True,Illegal,6,1,Bank_289,Singapore,15,3,6,2013-03-15 12:00:00,0.0,4
5730,TX0000005731,UAE,1671406.513116757,Stocks Transfer,2013-08-27 18:00:00,Person_1023,Luxury Goods,South Africa,False,Legal,1,6,Bank_474,Switzerland,27,8,18,2013-08-28 12:00:00,3984.0,1
8109,TX0000008110,Switzerland,1655336.5845284765,Property Purchase,2013-12-04 21:00:00,Person_1023,Real Estate,India,False,Legal,6,0,Bank_164,Luxembourg,4,12,21,2013-12-05 18:00:00,2382.0,2
2956,TX0000002957,Brazil,2848539.9790020934,Stocks Transfer,2013-05-04 04:00:00,Person_1026,Arms Trade,Brazil,False,Illegal,9,7,Bank_483,Bahamas,4,5,4,2013-05-04 08:00:00,0.0,5
4457,TX0000004458,Brazil,2908259.2609130377,Cash Withdrawal,2013-07-05 17:00:00,Person_1028,Casinos,USA,False,Legal,4,9,Bank_210,Luxembourg,5,7,17,2013-07-06 10:00:00,0.0,4
5570,TX0000005571,Singapore,3703063.5097433217,Property Purchase,2013-08-21 02:00:00,Person_103,Finance,UAE,True,Illegal,5,5,Bank_130,Cayman Islands,21,8,2,2013-08-21 04:00:00,0.0,2
7186,TX0000007187,South Africa,106694.4709330429,Cryptocurrency,2013-10-27 10:00:00,Person_103,Arms Trade,Brazil,False,Illegal,10,3,Bank_190,Luxembourg,27,10,10,2013-10-27 20:00:00,1624.0,6
8026,TX0000008027,Brazil,3789374.564224333,Cryptocurrency,2013-12-01 10:00:00,Person_1032,Real Estate,Singapore,False,Illegal,6,6,Bank_178,Luxembourg,1,12,10,2013-12-01 20:00:00,0.0,6
5188,TX0000005189,India,4624606.939025303,Cash Withdrawal,2013-08-05 04:00:00,Person_1033,Real Estate,UAE,False,Legal,4,0,Bank_180,Luxembourg,5,8,4,2013-08-05 08:00:00,0.0,0
8048,TX0000008049,Singapore,4695628.621382057,Stocks Transfer,2013-12-02 08:00:00,Person_1033,Real Estate,Russia,False,Illegal,3,5,Bank_454,Bahamas,2,12,8,2013-12-02 16:00:00,2864.0,0
7084,TX0000007085,China,1994555.095759089,Property Purchase,2013-10-23 04:00:00,Person_1036,Real Estate,USA,False,Illegal,2,6,Bank_378,Cayman Islands,23,10,4,2013-10-23 08:00:00,0.0,2
2654,TX0000002655,UAE,3156820.024337983,Cash Withdrawal,2013-04-21 14:00:00,Person_1037,Arms Trade,Russia,True,Legal,9,8,Bank_106,Panama,21,4,14,2013-04-22 04:00:00,0.0,6
4851,TX0000004852,Singapore,2051468.2030273103,Property Purchase,2013-07-22 03:00:00,Person_1038,Finance,Brazil,False,Illegal,6,6,Bank_216,Switzerland,22,7,3,2013-07-22 06:00:00,0.0,0
6210,TX0000006211,USA,3267093.31751865,Offshore Transfer,2013-09-16 18:00:00,Person_1038,Arms Trade,India,False,Legal,7,2,Bank_223,Panama,16,9,18,2013-09-17 12:00:00,1374.0,0
6988,TX0000006989,Singapore,499959.6631388312,Cash Withdrawal,2013-10-19 04:00:00,Person_1038,Arms Trade,China,False,Legal,6,9,Bank_16,Panama,19,10,4,2013-10-19 08:00:00,764.0,5
7148,TX0000007149,UAE,1468871.402907084,Cryptocurrency,2013-10-25 20:00:00,Person_1038,Casinos,China,False,Illegal,1,2,Bank_316,Luxembourg,25,10,20,2013-10-26 16:00:00,176.0,4
5641,TX0000005642,UAE,1080411.7120512847,Property Purchase,2013-08-24 01:00:00,Person_1039,Finance,UK,False,Illegal,7,4,Bank_362,Panama,24,8,1,2013-08-24 02:00:00,0.0,5
1425,TX0000001426,South Africa,2282036.1448603044,Cryptocurrency,2013-03-01 09:00:00,Person_1040,Oil & Gas,India,False,Illegal,4,5,Bank_217,Luxembourg,1,3,9,2013-03-01 18:00:00,0.0,4
3441,TX0000003442,China,818951.0419357481,Offshore Transfer,2013-05-24 09:00:00,Person_1040,Oil & Gas,UAE,True,Illegal,3,7,Bank_228,Switzerland,24,5,9,2013-05-24 18:00:00,2016.0,4
4450,TX0000004451,Russia,2783549.2968238024,Cryptocurrency,2013-07-05 10:00:00,Person_1044,Arms Trade,Russia,False,Legal,1,4,Bank_305,Switzerland,5,7,10,2013-07-05 20:00:00,0.0,4
5092,TX0000005093,Singapore,940899.21034575,Offshore Transfer,2013-08-01 04:00:00,Person_1044,Real Estate,China,False,Legal,3,6,Bank_89,Luxembourg,1,8,4,2013-08-01 08:00:00,636.0,3
5382,TX0000005383,Brazil,2935971.582902331,Offshore Transfer,2013-08-13 06:00:00,Person_1044,Construction,South Africa,False,Illegal,6,3,Bank_157,Switzerland,13,8,6,2013-08-13 12:00:00,292.0,1
3230,TX0000003231,UK,290078.55198485655,Cryptocurrency,2013-05-15 14:00:00,Person_1047,Finance,Singapore,False,Illegal,2,8,Bank_117,Switzerland,15,5,14,2013-05-16 04:00:00,0.0,2
6736,TX0000006737,Russia,1556767.6089484903,Stocks Transfer,2013-10-08 16:00:00,Person_1048,Construction,UAE,False,Illegal,9,5,Bank_4,Cayman Islands,8,10,16,2013-10-09 08:00:00,0.0,1
3215,TX0000003216,Russia,4819903.653632696,Cash Withdrawal,2013-05-14 23:00:00,Person_1049,Luxury Goods,UK,False,Illegal,8,3,Bank_108,Luxembourg,14,5,23,2013-05-15 22:00:00,0.0,1
5559,TX0000005560,China,2778199.866870606,Stocks Transfer,2013-08-20 15:00:00,Person_1051,Real Estate,Switzerland,False,Legal,6,8,Bank_152,Switzerland,20,8,15,2013-08-21 06:00:00,0.0,1
8996,TX0000008997,South Africa,3447327.0036667306,Property Purchase,2014-01-10 20:00:00,Person_1051,Luxury Goods,UK,True,Illegal,1,7,Bank_124,Luxembourg,10,1,20,2014-01-11 16:00:00,3442.0,4
134,TX0000000135,UAE,3446563.6818175944,Cryptocurrency,2013-01-06 14:00:00,Person_1053,Construction,China,False,Illegal,5,5,Bank_285,Luxembourg,6,1,14,2013-01-07 04:00:00,0.0,6
6405,TX0000006406,UK,243857.3773441555,Stocks Transfer,2013-09-24 21:00:00,Person_1054,Real Estate,India,False,Legal,7,1,Bank_254,Singapore,24,9,21,2013-09-25 18:00:00,0.0,1
3267,TX0000003268,Brazil,4294805.783927947,Property Purchase,2013-05-17 03:00:00,Person_1055,Luxury Goods,India,False,Illegal,1,9,Bank_90,Bahamas,17,5,3,2013-05-17 06:00:00,0.0,4
1481,TX0000001482,USA,3430865.2794985804,Cryptocurrency,2013-03-03 17:00:00,Person_1056,Arms Trade,China,False,Illegal,8,9,Bank_83,Cayman Islands,3,3,17,2013-03-04 10:00:00,0.0,6
2065,TX0000002066,India,1895971.2978274887,Stocks Transfer,2013-03-28 01:00:00,Person_1057,Finance,South Africa,False,Illegal,2,2,Bank_338,Bahamas,28,3,1,2013-03-28 02:00:00,0.0,3
8732,TX0000008733,UK,945036.3958120756,Stocks Transfer,2013-12-30 20:00:00,Person_106,Luxury Goods,UK,True,Illegal,4,7,Bank_356,Cayman Islands,30,12,20,2013-12-31 16:00:00,0.0,0
7779,TX0000007780,Singapore,2917957.8575342745,Stocks Transfer,2013-11-21 03:00:00,Person_1060,Arms Trade,UAE,False,Illegal,5,3,Bank_465,Panama,21,11,3,2013-11-21 06:00:00,0.0,3
3182,TX0000003183,Switzerland,1330969.155185219,Cash Withdrawal,2013-05-13 14:00:00,Person_1061,Construction,South Africa,False,Illegal,9,3,Bank_104,Luxembourg,13,5,14,2013-05-14 04:00:00,0.0,0
9200,TX0000009201,Russia,2301346.848924773,Cryptocurrency,2014-01-19 08:00:00,Person_1061,Finance,Russia,False,Legal,4,5,Bank_120,Panama,19,1,8,2014-01-19 16:00:00,6012.0,6
3029,TX0000003030,India,2224568.352173909,Stocks Transfer,2013-05-07 05:00:00,Person_1062,Real Estate,Switzerland,False,Illegal,6,5,Bank_458,Panama,7,5,5,2013-05-07 10:00:00,0.0,1
8271,TX0000008272,Switzerland,547037.5950920209,Property Purchase,2013-12-11 15:00:00,Person_1062,Construction,Russia,False,Legal,8,9,Bank_424,Bahamas,11,12,15,2013-12-12 06:00:00,5252.0,2
2672,TX0000002673,USA,1302219.0958531837,Stocks Transfer,2013-04-22 08:00:00,Person_1065,Construction,UAE,False,Legal,5,8,Bank_23,Singapore,22,4,8,2013-04-22 16:00:00,0.0,0
5370,TX0000005371,South Africa,2651880.815035666,Cryptocurrency,2013-08-12 18:00:00,Person_1067,Real Estate,Brazil,False,Legal,2,5,Bank_486,Bahamas,12,8,18,2013-08-13 12:00:00,0.0,0
6133,TX0000006134,China,4663140.520303036,Offshore Transfer,2013-09-13 13:00:00,Person_1069,Finance,UK,False,Legal,3,1,Bank_38,Luxembourg,13,9,13,2013-09-14 02:00:00,0.0,4
9756,TX0000009757,UK,2377688.503122637,Cash Withdrawal,2014-02-11 12:00:00,Person_1070,Construction,USA,False,Illegal,3,4,Bank_44,Cayman Islands,11,2,12,2014-02-12 00:00:00,0.0,1
3288,TX0000003289,UK,90297.05689689622,Stocks Transfer,2013-05-18 00:00:00,Person_1071,Construction,USA,False,Illegal,3,4,Bank_50,Singapore,18,5,0,2013-05-18 00:00:00,0.0,5
6061,TX0000006062,China,3679816.544315917,Offshore Transfer,2013-09-10 13:00:00,Person_1071,Construction,Brazil,False,Illegal,6,1,Bank_203,Luxembourg,10,9,13,2013-09-11 02:00:00,2786.0,1
6900,TX0000006901,UAE,3629393.726092565,Offshore Transfer,2013-10-15 12:00:00,Person_1073,Finance,USA,False,Legal,6,4,Bank_391,Luxembourg,15,10,12,2013-10-16 00:00:00,0.0,1
3719,TX0000003720,Russia,376011.1124299845,Stocks Transfer,2013-06-04 23:00:00,Person_1074,Luxury Goods,China,True,Illegal,5,5,Bank_349,Luxembourg,4,6,23,2013-06-05 22:00:00,0.0,1
7285,TX0000007286,India,893672.1130386456,Offshore Transfer,2013-10-31 13:00:00,Person_1074,Real Estate,USA,False,Illegal,1,1,Bank_91,Luxembourg,31,10,13,2013-11-01 02:00:00,3556.0,3
9452,TX0000009453,UAE,295697.84465514147,Stocks Transfer,2014-01-29 20:00:00,Person_1074,Construction,UAE,False,Legal,8,2,Bank_263,Singapore,29,1,20,2014-01-30 16:00:00,2174.0,2
9881,TX0000009882,Singapore,1252247.3879707246,Offshore Transfer,2014-02-16 17:00:00,Person_1075,Oil & Gas,USA,False,Illegal,2,6,Bank_444,Luxembourg,16,2,17,2014-02-17 10:00:00,0.0,6
7515,TX0000007516,India,1420066.9651984463,Cryptocurrency,2013-11-10 03:00:00,Person_1077,Real Estate,UAE,False,Illegal,9,3,Bank_107,Singapore,10,11,3,2013-11-10 06:00:00,0.0,6
7849,TX0000007850,Brazil,2622825.7196409046,Cryptocurrency,2013-11-24 01:00:00,Person_1077,Luxury Goods,USA,False,Legal,1,2,Bank_215,Luxembourg,24,11,1,2013-11-24 02:00:00,332.0,6
3658,TX0000003659,Brazil,3644731.974072536,Cash Withdrawal,2013-06-02 10:00:00,Person_1079,Real Estate,Russia,False,Illegal,8,7,Bank_162,Cayman Islands,2,6,10,2013-06-02 20:00:00,0.0,6
9483,TX0000009484,Brazil,1782796.9993887162,Stocks Transfer,2014-01-31 03:00:00,Person_1079,Arms Trade,Switzerland,False,Illegal,1,6,Bank_121,Cayman Islands,31,1,3,2014-01-31 06:00:00,5818.0,4
1435,TX0000001436,Russia,907901.4981331652,Offshore Transfer,2013-03-01 19:00:00,Person_108,Construction,India,False,Illegal,3,3,Bank_4,Singapore,1,3,19,2013-03-02 14:00:00,0.0,4
2493,TX0000002494,Singapore,4488345.404949724,Stocks Transfer,2013-04-14 21:00:00,Person_1080,Finance,Singapore,False,Legal,4,4,Bank_139,Cayman Islands,14,4,21,2013-04-15 18:00:00,0.0,6
5116,TX0000005117,UAE,1471550.1819559226,Property Purchase,2013-08-02 04:00:00,Person_1080,Finance,Russia,False,Illegal,2,4,Bank_160,Cayman Islands,2,8,4,2013-08-02 08:00:00,2606.0,4
2945,TX0000002946,UK,457919.2736681227,Cash Withdrawal,2013-05-03 17:00:00,Person_1081,Luxury Goods,Singapore,False,Illegal,1,7,Bank_257,Singapore,3,5,17,2013-05-04 10:00:00,0.0,4
6512,TX0000006513,USA,1314635.7045556663,Cryptocurrency,2013-09-29 08:00:00,Person_1081,Finance,China,False,Illegal,5,7,Bank_68,Panama,29,9,8,2013-09-29 16:00:00,3558.0,6
450,TX0000000451,Brazil,1517211.856594767,Offshore Transfer,2013-01-19 18:00:00,Person_1082,Luxury Goods,Singapore,False,Illegal,7,0,Bank_330,Bahamas,19,1,18,2013-01-20 12:00:00,0.0,5
8219,TX0000008220,UK,2965841.1832331577,Property Purchase,2013-12-09 11:00:00,Person_1084,Real Estate,Switzerland,False,Illegal,6,6,Bank_86,Singapore,9,12,11,2013-12-09 22:00:00,0.0,0
462,TX0000000463,India,3745765.276880176,Cryptocurrency,2013-01-20 06:00:00,Person_1085,Arms Trade,India,True,Legal,10,5,Bank_174,Panama,20,1,6,2013-01-20 12:00:00,0.0,6
1431,TX0000001432,Singapore,3646006.958916922,Stocks Transfer,2013-03-01 15:00:00,Person_1085,Finance,Brazil,False,Illegal,1,9,Bank_244,Luxembourg,1,3,15,2013-03-02 06:00:00,978.0,4
7580,TX0000007581,UK,924444.399137978,Offshore Transfer,2013-11-12 20:00:00,Person_1086,Luxury Goods,China,True,Illegal,10,2,Bank_68,Bahamas,12,11,20,2013-11-13 16:00:00,0.0,1
4288,TX0000004289,UK,1495618.7759382257,Cryptocurrency,2013-06-28 16:00:00,Person_1088,Oil & Gas,South Africa,False,Legal,10,3,Bank_137,Bahamas,28,6,16,2013-06-29 08:00:00,0.0,4
6470,TX0000006471,USA,1223480.5511356276,Cryptocurrency,2013-09-27 14:00:00,Person_1088,Real Estate,China,False,Legal,10,8,Bank_125,Singapore,27,9,14,2013-09-28 04:00:00,2180.0,4
4745,TX0000004746,South Africa,3088061.377314083,Offshore Transfer,2013-07-17 17:00:00,Person_1089,Real Estate,Switzerland,False,Illegal,10,9,Bank_425,Bahamas,17,7,17,2013-07-18 10:00:00,0.0,2
8830,TX0000008831,USA,17040.350729632948,Offshore Transfer,2014-01-03 22:00:00,Person_1090,Luxury Goods,Brazil,False,Illegal,2,1,Bank_269,Luxembourg,3,1,22,2014-01-04 20:00:00,0.0,4
619,TX0000000620,South Africa,1702458.491072417,Cryptocurrency,2013-01-26 19:00:00,Person_1091,Finance,Singapore,False,Illegal,9,3,Bank_136,Luxembourg,26,1,19,2013-01-27 14:00:00,0.0,5
3601,TX0000003602,Russia,3712612.68108647,Property Purchase,2013-05-31 01:00:00,Person_1091,Casinos,Switzerland,False,Illegal,6,7,Bank_496,Cayman Islands,31,5,1,2013-05-31 02:00:00,2964.0,4
7264,TX0000007265,Russia,3216135.0983173074,Property Purchase,2013-10-30 16:00:00,Person_1091,Arms Trade,Switzerland,False,Illegal,1,3,Bank_372,Switzerland,30,10,16,2013-10-31 08:00:00,3678.0,2
4716,TX0000004717,USA,1498240.6700191926,Cash Withdrawal,2013-07-16 12:00:00,Person_1092,Casinos,Switzerland,False,Legal,4,2,Bank_282,Switzerland,16,7,12,2013-07-17 00:00:00,0.0,1
8162,TX0000008163,UK,4216868.360289922,Stocks Transfer,2013-12-07 02:00:00,Person_1093,Finance,India,False,Illegal,5,0,Bank_255,Cayman Islands,7,12,2,2013-12-07 04:00:00,0.0,5
3912,TX0000003913,Brazil,652714.6501341854,Offshore Transfer,2013-06-13 00:00:00,Person_1095,Luxury Goods,China,False,Legal,2,4,Bank_322,Panama,13,6,0,2013-06-13 00:00:00,0.0,3
6462,TX0000006463,Switzerland,37774.50802842353,Cryptocurrency,2013-09-27 06:00:00,Person_1097,Oil & Gas,UK,False,Legal,9,1,Bank_133,Luxembourg,27,9,6,2013-09-27 12:00:00,0.0,4
2870,TX0000002871,Singapore,671272.0354351912,Stocks Transfer,2013-04-30 14:00:00,Person_110,Arms Trade,UAE,True,Illegal,4,8,Bank_62,Singapore,30,4,14,2013-05-01 04:00:00,0.0,1
4443,TX0000004444,Switzerland,3221835.1733631026,Property Purchase,2013-07-05 03:00:00,Person_110,Construction,USA,True,Legal,6,4,Bank_188,Switzerland,5,7,3,2013-07-05 06:00:00,1562.0,4
5822,TX0000005823,Brazil,1471986.504971288,Offshore Transfer,2013-08-31 14:00:00,Person_110,Finance,Brazil,False,Illegal,1,9,Bank_146,Luxembourg,31,8,14,2013-09-01 04:00:00,1390.0,5
0,TX0000000001,Brazil,3267530.479376824,Offshore Transfer,2013-01-01 00:00:00,Person_1101,Construction,USA,True,Illegal,6,1,Bank_40,Singapore,1,1,0,2013-01-01 00:00:00,0.0,1
6753,TX0000006754,UK,4992934.248625676,Offshore Transfer,2013-10-09 09:00:00,Person_1101,Arms Trade,USA,False,Legal,6,5,Bank_344,Luxembourg,9,10,9,2013-10-09 18:00:00,6762.0,2
3855,TX0000003856,UK,3532517.1487414087,Property Purchase,2013-06-10 15:00:00,Person_1102,Oil & Gas,Russia,False,Illegal,7,6,Bank_322,Panama,10,6,15,2013-06-11 06:00:00,0.0,0
983,TX0000000984,Brazil,4854827.400294333,Offshore Transfer,2013-02-10 23:00:00,Person_1104,Finance,Brazil,False,Illegal,5,3,Bank_272,Singapore,10,2,23,2013-02-11 22:00:00,0.0,6
4743,TX0000004744,USA,715255.4182433941,Property Purchase,2013-07-17 15:00:00,Person_1104,Arms Trade,Brazil,True,Illegal,9,1,Bank_51,Singapore,17,7,15,2013-07-18 06:00:00,3752.0,2
3811,TX0000003812,Brazil,1465047.0312920993,Stocks Transfer,2013-06-08 19:00:00,Person_1107,Casinos,UK,True,Illegal,8,5,Bank_246,Panama,8,6,19,2013-06-09 14:00:00,0.0,5
2957,TX0000002958,USA,1559458.8097839009,Stocks Transfer,2013-05-04 05:00:00,Person_1108,Casinos,UAE,False,Illegal,5,9,Bank_465,Panama,4,5,5,2013-05-04 10:00:00,0.0,5
5136,TX0000005137,China,1251521.6425375943,Offshore Transfer,2013-08-03 00:00:00,Person_1108,Finance,USA,False,Illegal,2,9,Bank_143,Bahamas,3,8,0,2013-08-03 00:00:00,2174.0,5
2534,TX0000002535,Singapore,1998337.5239759297,Stocks Transfer,2013-04-16 14:00:00,Person_1109,Arms Trade,South Africa,False,Illegal,2,8,Bank_77,Switzerland,16,4,14,2013-04-17 04:00:00,0.0,1
1023,TX0000001024,India,2860497.259809455,Stocks Transfer,2013-02-12 15:00:00,Person_111,Oil & Gas,China,False,Illegal,7,9,Bank_125,Bahamas,12,2,15,2013-02-13 06:00:00,0.0,1
2895,TX0000002896,India,2170875.9915320366,Cash Withdrawal,2013-05-01 15:00:00,Person_111,Casinos,Singapore,False,Illegal,7,2,Bank_34,Panama,1,5,15,2013-05-02 06:00:00,1872.0,2
5986,TX0000005987,China,4559857.831299719,Property Purchase,2013-09-07 10:00:00,Person_1110,Real Estate,USA,False,Legal,3,9,Bank_403,Bahamas,7,9,10,2013-09-07 20:00:00,0.0,5
9111,TX0000009112,USA,1820272.0824292733,Cryptocurrency,2014-01-15 15:00:00,Person_1111,Construction,Singapore,False,Illegal,7,0,Bank_153,Luxembourg,15,1,15,2014-01-16 06:00:00,0.0,2
9049,TX0000009050,UK,4040024.945699364,Stocks Transfer,2014-01-13 01:00:00,Person_1112,Construction,UK,True,Legal,7,2,Bank_367,Luxembourg,13,1,1,2014-01-13 02:00:00,0.0,0
9863,TX0000009864,Singapore,3241574.5054739327,Property Purchase,2014-02-15 23:00:00,Person_1113,Arms Trade,UK,False,Illegal,9,4,Bank_234,Singapore,15,2,23,2014-02-16 22:00:00,0.0,5
9695,TX0000009696,UK,1944467.9291511003,Cash Withdrawal,2014-02-08 23:00:00,Person_1114,Arms Trade,China,True,Illegal,1,7,Bank_280,Panama,8,2,23,2014-02-09 22:00:00,0.0,5
3420,TX0000003421,Russia,547846.5719110683,Cash Withdrawal,2013-05-23 12:00:00,Person_1115,Arms Trade,UK,False,Illegal,8,1,Bank_69,Luxembourg,23,5,12,2013-05-24 00:00:00,0.0,3
1451,TX0000001452,UAE,999955.2703081334,Offshore Transfer,2013-03-02 11:00:00,Person_1116,Luxury Goods,China,False,Illegal,9,5,Bank_214,Singapore,2,3,11,2013-03-02 22:00:00,0.0,5
2911,TX0000002912,Brazil,4830618.390507985,Stocks Transfer,2013-05-02 07:00:00,Person_1117,Finance,China,False,Illegal,3,1,Bank_185,Singapore,2,5,7,2013-05-02 14:00:00,0.0,3
926,TX0000000927,Switzerland,109923.86092217552,Cryptocurrency,2013-02-08 14:00:00,Person_1119,Finance,India,False,Illegal,9,8,Bank_486,Bahamas,8,2,14,2013-02-09 04:00:00,0.0,4
4228,TX0000004229,Russia,4729815.200697089,Offshore Transfer,2013-06-26 04:00:00,Person_1119,Construction,India,True,Legal,6,9,Bank_276,Bahamas,26,6,4,2013-06-26 08:00:00,3292.0,2
